,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
37,CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87100000000015,4.425600000000004,1.0,3.0,8.397940008672037
38,CHEMBL1202221,Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,326.8710000000001,4.265700000000003,0.0,2.0,6.835647144215563
39,CHEMBL1202220,Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,326.8710000000001,4.265700000000003,0.0,2.0,6.609064892896621
40,CHEMBL1203257,c1ccc([C@H]2C[C@@H]2CN2CCN(c3ncccn3)CC2)cc1,294.40200000000004,2.4023000000000003,0.0,4.0,6.115771230367396
41,CHEMBL1202219,Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3Cl)CC2)cc1,344.8610000000001,4.404800000000004,0.0,2.0,7.886056647693163
42,CHEMBL1202210,Cc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,340.898,4.574120000000003,0.0,2.0,6.892790030352131
43,CHEMBL341497,c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3)CC2)cc1,292.42600000000004,3.612300000000003,0.0,2.0,7.431798275933005
44,CHEMBL1202215,Clc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,326.87100000000004,4.2657000000000025,0.0,2.0,8.301029995663981
45,CHEMBL1202212,Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,361.31600000000014,4.919100000000005,0.0,2.0,6.681936665037238
46,CHEMBL1202209,Cc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,324.44300000000004,4.059820000000003,0.0,2.0,7.167491087293763
47,CHEMBL1202204,COc1c(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,391.3420000000001,4.927700000000004,0.0,3.0,6.642065152999546
48,CHEMBL1202207,c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccncc3)CC2)cc1,293.41400000000004,3.0073000000000016,0.0,3.0,5.0
49,CHEMBL1204116,Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,361.31600000000014,4.919100000000005,0.0,2.0,7.031517051446065
50,CHEMBL1202206,COc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,391.3420000000001,4.927700000000004,0.0,3.0,8.154901959985743
51,CHEMBL1202208,Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(C)c1,320.4800000000002,4.229140000000004,0.0,2.0,7.136677139879544
52,CHEMBL1204119,Cc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(C)c1,320.4800000000002,4.229140000000004,0.0,2.0,7.346787486224656
53,CHEMBL1202205,COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,356.8970000000001,4.274300000000004,0.0,3.0,8.301029995663981
54,CHEMBL1202224,COc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,322.4520000000001,3.6209000000000024,0.0,3.0,6.123782159408358
55,CHEMBL1202225,Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,361.3160000000001,4.919100000000005,0.0,2.0,7.494850021680094
56,CHEMBL1202223,Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3cccc(Cl)c3)CC2)cc1,344.8610000000001,4.404800000000004,0.0,2.0,7.251811972993799
57,CHEMBL1202214,COc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,340.44200000000006,3.7600000000000025,0.0,3.0,8.0
58,CHEMBL22242,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,371.2750000000001,2.6804000000000006,1.0,4.0,6.055517327849832
59,CHEMBL831,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,327.8150000000001,3.7714000000000025,0.0,4.0,7.267606240177032
60,CHEMBL415300,CN1CCN(C2=Nc3ccccc3Nc3ccc(Cl)cc32)CC1,326.83100000000013,3.7227000000000023,1.0,4.0,7.468521082957745
61,CHEMBL72292,CN1CCN(C2=Nc3ccccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,440.4470000000002,3.2977000000000016,1.0,7.0,6.853871964321762
62,CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83100000000013,3.7227000000000023,1.0,4.0,6.585026652029182
63,CHEMBL81485,CNCC1CC2c3ccccc3Cc3ccccc3N2O1,280.371,3.0618000000000016,1.0,3.0,5.770000934050708
64,CHEMBL70319,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,474.8920000000002,3.951100000000003,1.0,7.0,7.522878745280337
65,CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87100000000015,4.425600000000004,1.0,3.0,8.309803919971486
66,CHEMBL73589,CN1CCN(C2=Nc3ccccc3Sc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,457.4990000000002,3.705300000000003,0.0,7.0,7.638272163982407
67,CHEMBL83658,CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,294.398,3.4040000000000026,0.0,3.0,6.060001790087838
68,CHEMBL306474,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(C)(=O)=O)cc32)CC1,387.4610000000002,2.4564000000000004,0.0,7.0,6.0
69,CHEMBL313189,CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1,308.42500000000007,3.794100000000003,0.0,3.0,5.019999811738259
